gender,age,age_o,race,race_o,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match
female,23,28,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,1,1,law,50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,9,6,0,1,1,1
female,23,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,1,1,law,100,0,0,0,0,0,7,10,10,6,10,7,10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,7,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,9,8,0,1,0,0
female,22,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,35,20,20,20,0,5,7,8,8,8,7,7,15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7,4,0,0,0,0
female,22,22,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,60,0,0,40,0,0,7,9,10,6,6,5,15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7,3,1,0,1,0
female,22,22,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',2,4,Law,19,18,19,18,14,12,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7,8,1,0,1,0
female,22,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,8,6,1,1,1,1
female,22,24,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',2,4,Law,30,10,20,10,10,20,8,7,9,6,9,5,15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,5,6,1,0,1,0
female,22,25,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,50,0,30,10,0,10,8,8,8,6,6,6,15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,5,5,0,0,1,0
female,22,30,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,35,15,25,10,5,10,7,6,5,4,4,3,15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,7,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,8,7,0,1,0,0
female,22,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,5,7,0,0,1,0
female,22,28,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,6,6,0,1,1,1
female,22,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,2,4,Law,100,0,0,0,0,0,7,6,8,6,8,7,15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7,5,0,1,0,0
female,25,27,European/Caucasian-American,European/Caucasian-American,1,1,'Masters in Public Administration',35,20,20,20,0,5,8,7,6,6,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,7,4,7,5,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,4,5,0,1,0,0
female,25,22,European/Caucasian-American,European/Caucasian-American,1,1,'Masters in Public Administration',60,0,0,40,0,0,8,8,10,7,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,7,7,9,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,8,7,0,1,1,1
female,25,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',1,1,'Masters in Public Administration',19,18,19,18,14,12,10,10,10,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,8,6,7,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,5,5,0,1,1,1
female,25,23,European/Caucasian-American,European/Caucasian-American,1,1,'Masters in Public Administration',30,5,15,40,5,5,8,8,8,8,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,6,5,6,6,5,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,5,6,0,1,1,1
female,25,24,European/Caucasian-American,'Latino/Hispanic American',1,1,'Masters in Public Administration',30,10,20,10,10,20,9,9,8,9,?,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,6,5,0,1,1,1
female,25,25,European/Caucasian-American,European/Caucasian-American,1,1,'Masters in Public Administration',50,0,30,10,0,10,8,7,7,7,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,6,5,0,1,1,1
female,25,30,European/Caucasian-American,European/Caucasian-American,1,1,'Masters in Public Administration',35,15,25,10,5,10,6,4,7,5,6,4,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,7,8,5,7,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,6,6,0,1,0,0
female,25,27,European/Caucasian-American,European/Caucasian-American,1,1,'Masters in Public Administration',33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,6,7,4,5,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,5,4,0,1,1,1
female,25,28,European/Caucasian-American,European/Caucasian-American,1,1,'Masters in Public Administration',50,0,25,10,0,15,8,7,8,10,8,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,8,5,9,8,9,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,7,10,0,1,1,1
female,25,24,European/Caucasian-American,European/Caucasian-American,1,1,'Masters in Public Administration',100,0,0,0,0,0,8,10,9,9,8,8,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,7,6,8,7,9,8,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,?,8,7,0,1,1,1
female,26,27,Other,European/Caucasian-American,1,1,'Masters in Public Administration',35,20,20,20,0,5,6,8,7,8,7,5,20,10,20,30,10,10,7,6,10,7,7,8,10,9,8,7,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,5,5,0,1,0,0
female,26,22,Other,European/Caucasian-American,1,1,'Masters in Public Administration',60,0,0,40,0,0,8,8,10,7,6,5,20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,10,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,10,5,0,1,1,1
female,26,22,Other,'Asian/Pacific Islander/Asian-American',1,1,'Masters in Public Administration',19,18,19,18,14,12,10,10,10,10,10,10,20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,8,5,0,1,1,1
female,26,23,Other,European/Caucasian-American,1,1,'Masters in Public Administration',30,5,15,40,5,5,7,8,7,8,8,7,20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,7,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7,5,0,1,1,1
female,26,24,Other,'Latino/Hispanic American',1,1,'Masters in Public Administration',30,10,20,10,10,20,7,9,8,9,7,7,20,10,20,30,10,10,7,6,10,7,7,5,10,8,8,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,5,5,0,1,1,1
female,26,25,Other,European/Caucasian-American,1,1,'Masters in Public Administration',50,0,30,10,0,10,6,6,7,8,7,7,20,10,20,30,10,10,7,6,10,7,7,8,9,9,7,6,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,6,5,0,1,1,1
female,26,30,Other,European/Caucasian-American,1,1,'Masters in Public Administration',35,15,25,10,5,10,8,6,7,8,6,5,20,10,20,30,10,10,7,6,10,7,7,6,8,9,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7,5,0,1,1,1
female,26,27,Other,European/Caucasian-American,1,1,'Masters in Public Administration',33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,20,10,20,30,10,10,7,6,10,7,7,6,7,8,7,9,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7,5,0,1,0,0
